site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-11,2,0.0183,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,3,0.0205,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,4,0.0199,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,5,0.0183,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,6,0.0156,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,7,0.0173,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,8,0.0141,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,9,0.0115,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,10,0.0133,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,11,0.0101,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,12,0.0051,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,13,0.0060,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,14,0.0035,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,15,0.0039,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,16,0.0052,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,17,0.0061,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,18,0.0049,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,19,0.0069,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,20,0.0061,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,21,0.0061,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,22,0.0054,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-11,23,0.0047,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,0,0.0051,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,1,0.0058,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,2,0.0098,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,3,0.0102,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,4,0.0119,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,5,0.0184,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,6,0.0203,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,7,0.0218,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,8,0.0212,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,9,0.0189,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,10,0.0063,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-12,11,0.0042,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
