site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2021-01-10,14,0.1360,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,15,0.1580,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,16,0.1870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,17,0.2870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,18,0.4580,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,19,0.4770,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,20,0.4610,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,21,0.5850,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,22,0.3310,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-10,23,0.3670,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,0,0.2330,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,1,0.1880,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,2,0.1930,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,3,0.2100,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,5,0.3920,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,6,0.8300,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,7,0.3770,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,8,0.1700,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,9,0.1640,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,10,0.1400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
